T; 1000; eps ;0.45; delta; 0.0;h2;1.8115399760662343;h3;2.6248352742117715;h4;3.438926464747841;eps_0;0.6016962485325997;delta;-8.447721282117484E-4; DELTA; 8.447721282117484E-4
T; 1000; eps ;0.45; delta; 5.0E-5;h2;1.8761791298517485;h3;2.750615337717889;h4;3.625581809414941;eps_0;0.4985475898430262;delta;6.16034551516941E-4; DELTA; 5.660345515169409E-4
T; 1000; eps ;0.45; delta; 1.0E-4;h2;1.7953455886484102;h3;2.5963284624631022;h4;3.3956630856279593;eps_0;0.622329757714499;delta;-0.0012192568095989792; DELTA; 0.0013192568095989792
T; 1000; eps ;0.45; delta; 5.0E-4;h2;1.8324373098889355;h3;2.6667380739952775;h4;3.5006126777390807;eps_0;0.5702081013232146;delta;-5.393936314527226E-4; DELTA; 0.0010393936314527226
T; 1000; eps ;0.45; delta; 0.001;h2;1.8665270614735419;h3;2.7318111477591427;h4;3.596555885585986;eps_0;0.5167365786766884;delta;8.361227260999948E-4; DELTA; 1.638772739000052E-4
T; 1000; eps ;0.45; delta; 0.005;h2;1.8545616529136126;h3;2.703499941052069;h4;3.550050759661254;eps_0;0.5461388317484255;delta;0.003317929980268581; DELTA; 0.0016820700197314191
T; 1000; eps ;0.45; delta; 0.01;h2;1.8508562447576438;h3;2.7040083416139034;h4;3.557694758042124;eps_0;0.5380622765291456;delta;-0.0012124245887972288; DELTA; 0.011212424588797228
T; 1000; eps ;0.45; delta; 0.05;h2;1.8403718271003624;h3;2.6784392304940923;h4;3.5156102331741237;eps_0;0.5636241580185581;delta;0.0012337277490214549; DELTA; 0.04876627225097855
T; 10000; eps ;0.45; delta; 0.0;h2;1.8443498677165426;h3;2.688690761054839;h4;3.5329019555399137;eps_0;0.5531087672434677;delta;5.580261647196314E-5; DELTA; 5.580261647196314E-5
T; 10000; eps ;0.45; delta; 5.0E-5;h2;1.8428693052875196;h3;2.686195007588853;h4;3.5295332327676103;eps_0;0.5547771606885361;delta;-1.874034000069963E-4; DELTA; 2.374034000069963E-4
T; 10000; eps ;0.45; delta; 1.0E-4;h2;1.8414618649549044;h3;2.6828437422207543;h4;3.52378335640848;eps_0;0.558279700628638;delta;2.0573796146713534E-4; DELTA; 1.0573796146713534E-4
T; 10000; eps ;0.45; delta; 5.0E-4;h2;1.8427628652070844;h3;2.685275644950819;h4;3.527691635107843;eps_0;0.5560673254474249;delta;1.378951805028726E-4; DELTA; 3.621048194971274E-4
T; 10000; eps ;0.45; delta; 0.001;h2;1.8458820249233847;h3;2.6918325288719287;h4;3.537235778463653;eps_0;0.5508046977760177;delta;1.945016209604448E-4; DELTA; 8.054983790395553E-4
T; 10000; eps ;0.45; delta; 0.005;h2;1.8510329131525882;h3;2.7021305181916437;h4;3.5532201634768623;eps_0;0.5415851565522427;delta;-2.394757300941704E-5; DELTA; 0.005023947573009417
T; 10000; eps ;0.45; delta; 0.01;h2;1.8530169461156372;h3;2.7061545519303567;h4;3.559287784991698;eps_0;0.5380826166121411;delta;-4.981221228653952E-5; DELTA; 0.010049812212286539
T; 10000; eps ;0.45; delta; 0.05;h2;1.8787243302731718;h3;2.7571641769766093;h4;3.635343005549923;eps_0;0.49206276905271895;delta;2.852468212245034E-4; DELTA; 0.0497147531787755
T; 50000; eps ;0.45; delta; 0.0;h2;1.8489429944388038;h3;2.697921786508002;h4;3.5469108032579495;eps_0;0.5451797111535152;delta;-1.913771903286176E-5; DELTA; 1.913771903286176E-5
T; 50000; eps ;0.45; delta; 5.0E-5;h2;1.8549476166020573;h3;2.709872283684247;h4;3.5647308836525062;eps_0;0.5350060784762297;delta;3.862754386789637E-5; DELTA; 1.137245613210363E-5
T; 50000; eps ;0.45; delta; 1.0E-4;h2;1.8524585145840304;h3;2.7050282029754653;h4;3.5574961751872163;eps_0;0.5391505901786875;delta;-4.033118770849281E-6; DELTA; 1.0403311877084929E-4
T; 50000; eps ;0.45; delta; 5.0E-4;h2;1.8517014664793936;h3;2.7034805886919804;h4;3.555223531641741;eps_0;0.540443884181114;delta;-1.7591686842973387E-5; DELTA; 5.175916868429734E-4
T; 50000; eps ;0.45; delta; 0.001;h2;1.8443790465981524;h3;2.6887288094235684;h4;3.5331014381179564;eps_0;0.552953586566313;delta;2.584240302387998E-6; DELTA; 9.97415759697612E-4
T; 50000; eps ;0.45; delta; 0.005;h2;1.8455193234242284;h3;2.6910321938189394;h4;3.536421013375989;eps_0;0.5511434607407224;delta;5.2942807028579674E-5; DELTA; 0.0049470571929714205
T; 50000; eps ;0.45; delta; 0.01;h2;1.8511952363879;h3;2.7023477666712923;h4;3.5535129919382387;eps_0;0.5414475219906394;delta;1.2675482190506712E-5; DELTA; 0.009987324517809494
T; 50000; eps ;0.45; delta; 0.05;h2;1.8780247301763666;h3;2.7557885543516707;h4;3.633550857454925;eps_0;0.4931049934152973;delta;1.3658613134955846E-4; DELTA; 0.049863413868650446
T; 100000; eps ;0.45; delta; 0.0;h2;1.8498744965924148;h3;2.699759791598196;h4;3.549643469652726;eps_0;0.543640711928734;delta;-3.8425322979008126E-6; DELTA; 3.8425322979008126E-6
T; 100000; eps ;0.45; delta; 5.0E-5;h2;1.8463606035617688;h3;2.692644331304789;h4;3.538915030735875;eps_0;0.5497334608554962;delta;3.6685545083126996E-5; DELTA; 1.3314454916873006E-5
T; 100000; eps ;0.45; delta; 1.0E-4;h2;1.845131137406095;h3;2.69022507346467;h4;3.535294873386005;eps_0;0.5517493120919567;delta;2.4821214375930702E-5; DELTA; 7.51787856240693E-5
T; 100000; eps ;0.45; delta; 5.0E-4;h2;1.8486481051318573;h3;2.6973062092620936;h4;3.545946518491781;eps_0;0.5457441670830923;delta;3.234211439333739E-6; DELTA; 4.967657885606662E-4
T; 100000; eps ;0.45; delta; 0.001;h2;1.8452158690940204;h3;2.69039533158887;h4;3.5355869506697224;eps_0;0.5515738211341257;delta;9.820275710717323E-6; DELTA; 9.901797242892827E-4
T; 100000; eps ;0.45; delta; 0.005;h2;1.852313894498422;h3;2.7046255754666335;h4;3.5569337135017713;eps_0;0.5394790117385577;delta;2.451413746969624E-6; DELTA; 0.004997548586253031
T; 100000; eps ;0.45; delta; 0.01;h2;1.8572012317114317;h3;2.7143821588886317;h4;3.5715605282172795;eps_0;0.5310003561752524;delta;1.0090205106605343E-5; DELTA; 0.009989909794893394
T; 100000; eps ;0.45; delta; 0.05;h2;1.878369542333833;h3;2.756424706650625;h4;3.6344633395798898;eps_0;0.4925455070224811;delta;1.7266116371112049E-4; DELTA; 0.049827338836288884
T; 500000; eps ;0.45; delta; 0.0;h2;1.8488980764122858;h3;2.6978072644198456;h4;3.5467138729887626;eps_0;0.5453040613312428;delta;-3.5461398789808716E-6; DELTA; 3.5461398789808716E-6
T; 500000; eps ;0.45; delta; 5.0E-5;h2;1.8486778224720635;h3;2.697356377694735;h4;3.5460337220836786;eps_0;0.5456923184979032;delta;1.983805435092229E-7; DELTA; 4.980161945649078E-5
T; 500000; eps ;0.45; delta; 1.0E-4;h2;1.8489642939598014;h3;2.697932751982254;h4;3.5468985971312676;eps_0;0.5452017574192969;delta;-6.449806486242041E-7; DELTA; 1.0064498064862422E-4
T; 500000; eps ;0.45; delta; 5.0E-4;h2;1.850784663689034;h3;2.701558530118111;h4;3.5523321911249677;eps_0;0.5421155558813174;delta;4.634132312580335E-6; DELTA; 4.953658676874196E-4
T; 500000; eps ;0.45; delta; 0.001;h2;1.8493410654354374;h3;2.698680919326674;h4;3.548020006329848;eps_0;0.5445669456641784;delta;8.2480396714617E-7; DELTA; 9.99175196032854E-4
T; 500000; eps ;0.45; delta; 0.005;h2;1.8507863173004027;h3;2.7015795291803144;h4;3.552363043700968;eps_0;0.5420951412925232;delta;1.1805812118031203E-6; DELTA; 0.004998819418788197
T; 500000; eps ;0.45; delta; 0.01;h2;1.8536590280818817;h3;2.707291334734242;h4;3.5609281850581715;eps_0;0.5371843001994017;delta;9.535895646997925E-6; DELTA; 0.009990464104353003
T; 500000; eps ;0.45; delta; 0.05;h2;1.8786124896618177;h3;2.756900354513917;h4;3.6351707785950613;eps_0;0.49209503751405737;delta;1.788427267280616E-4; DELTA; 0.049821157273271945
